,Create At,Name,Price
213,2022-03-22 15:44:55.163426,Jet Set Small Pebbled Leather Smartphone Convertible Crossbody Bag,2150.00
214,2022-03-22 15:44:55.163505,Jet Set Small Logo Convertible Camera Bag,2900.00
215,2022-03-22 15:44:55.163583,Large Saffiano Leather Dome Crossbody Bag,2900.00
216,2022-03-22 15:44:55.163671,Simone Pebbled Leather Messenger Bag,20210.00
217,2022-03-22 15:44:55.163751,Slater Medium Logo Sling Pack,3500.00
218,2022-03-22 15:44:55.163830,SoHo Small Quilted Leather Shoulder Bag,4400.00
219,2022-03-22 15:44:55.163908,Jet Set Small Pebbled Leather Convertible Camera Bag,2420.00
220,2022-03-22 15:44:55.163994,Jet Set Small Pebbled Leather Smartphone Convertible Crossbody Bag,2100.00
221,2022-03-22 15:44:55.164074,Lita Small Leather Crossbody Bag,4050.00
222,2022-03-22 15:44:55.164151,Jet Set Quilted Leather and Logo 4-in-1 Crossbody Bag Set,3780.00
223,2022-03-22 15:44:55.164225,Hendrix Medium Logo Messenger Bag,4860.00
224,2022-03-22 15:44:55.164300,Carmen Large Logo and Leather Belted Satchel,5130.00
225,2022-03-22 15:44:55.164375,Whitney Large Quilted Leather Convertible Shoulder Bag,6220.00
226,2022-03-22 15:44:55.164450,Jessie Medium Two-Tone Logo Shoulder Bag,4050.00
227,2022-03-22 15:44:55.164524,Jet Set Medium Logo and Leather Half Dome Crossbody,2690.00
228,2022-03-22 15:44:55.164601,Ava Extra-Small Saffiano Leather Crossbody,2400.00
229,2022-03-22 15:44:55.164681,Medium Logo and Animal-Print Calf Hair Belt Bag,3930.00
230,2022-03-22 15:44:55.164762,Jet Set Large Saffiano Leather Crossbody Bag,2280.00
231,2022-03-22 15:44:55.164838,Ginny Leather Crossbody Bag,2420.00
232,2022-03-22 15:44:55.164915,Ginny Medium Pebbled Leather Crossbody Bag,2350.00 -  2690.00
233,2022-03-22 15:44:55.164989,Whitney Large Quilted Leather Convertible Shoulder Bag,4860.00
234,2022-03-22 15:44:55.165063,Bedford Legacy Extra-Small Logo Duffle Crossbody Bag,3370.00
235,2022-03-22 15:44:55.165137,Hudson Pebbled Leather Crossbody Bag,3640.00
236,2022-03-22 15:44:55.165209,Henry Leather Flight Bag,4050.00
237,2022-03-22 15:44:55.165289,Greyson Pebbled Leather Messenger Bag,3640.00
238,2022-03-22 15:44:55.165365,Nouveau Hamilton Large Logo and Leather Satchel,5130.00
239,2022-03-22 15:44:55.165445,Medium Logo Woven Dust Bag,170.00
240,2022-03-22 15:44:55.165527,Large Logo Woven Dust Bag,170.00
241,2022-03-22 15:44:55.165604,Mina Large Logo Shoulder Bag,6220.00
242,2022-03-22 15:44:55.165680,Mina Large Pebbled Leather Shoulder Bag,6220.00
243,2022-03-22 15:44:55.165760,Jane Large Logo Tote Bag,2850.00
244,2022-03-22 15:44:55.165835,Sinclair Large Pleated Logo Tote Bag,5400.00
245,2022-03-22 15:44:55.165921,Carine Large Pebbled Leather Tote Bag,5720.00
246,2022-03-22 15:44:55.166000,Carine Large Pebbled Leather Tote Bag,5720.00
247,2022-03-22 15:44:55.166079,Sullivan Small Two-Tone Saffiano Leather Top-Zip Tote Bag,3010.00 -  3100.00
248,2022-03-22 15:44:55.166152,Sullivan Large Saffiano Leather Top-Zip Tote Bag,4860.00
249,2022-03-22 15:44:55.166226,Beck Large Pebbled Leather Tote Bag,4450.00
250,2022-03-22 15:44:55.166299,Beck Large Logo Tote Bag,4050.00
251,2022-03-22 15:44:55.166372,Beck Medium Pebbled Leather Tote Bag,4050.00
252,2022-03-22 15:44:55.166445,Beck Medium Logo Leather Tote Bag,3370.00
253,2022-03-22 15:44:55.166522,Lina Medium Logo Faux Leather Tote Bag,5720.00
254,2022-03-22 15:44:55.166603,Lina Medium Logo Faux Leather Tote Bag,5720.00 -  6220.00
255,2022-03-22 15:44:55.166677,Willa Extra-Small Pleated Logo Tote Bag,4050.00
256,2022-03-22 15:44:55.166748,Carine Medium Pebbled Leather Tote Bag,4860.00
257,2022-03-22 15:44:55.166820,Jane Large Pebbled Leather Tote Bag,3100.00
258,2022-03-22 15:44:55.166892,Susan Medium Quilted Leather Shoulder Bag,6220.00
259,2022-03-22 15:44:55.166963,Susan Medium Quilted Leather Shoulder Bag,6220.00
260,2022-03-22 15:44:55.167036,Heidi Large Logo Jacquard Tote Bag,4400.00
261,2022-03-22 15:44:55.167109,Voyager Medium Metallic Logo Tote Bag,4050.00
262,2022-03-22 15:44:55.167190,Jet Set Travel Medium Saffiano Leather Top-Zip Tote Bag,3720.00
263,2022-03-22 15:44:55.167265,Phoebe Large Logo and Pebbled Leather Tote Bag,4860.00
264,2022-03-22 15:44:55.167336,Phoebe Large Pebbled Leather Tote Bag,4860.00
265,2022-03-22 15:44:55.167408,Voyager Medium Metallic Logo Tote,4050.00
266,2022-03-22 15:44:55.167481,Rhea Mini Graphic Logo Backpack,4450.00
267,2022-03-22 15:44:55.167556,Marilyn Medium Logo Tote Bag,3100.00
268,2022-03-22 15:44:55.167632,Sullivan Small Logo Top-Zip Tote Bag,2900.00
269,2022-03-22 15:44:55.167705,Isla Large Canvas Tote Bag,2690.00
270,2022-03-22 15:44:55.167778,Isla Large Canvas Tote Bag,2690.00
271,2022-03-22 15:44:55.167850,Brooklyn Large Pebbled Leather Backpack,4050.00
272,2022-03-22 15:44:55.167928,Amy Large Logo and Faux Leather Tote Bag,3470.00
273,2022-03-22 15:44:55.168008,Eva Extra-Small Studded Graphic Logo Tote Bag,3720.00
274,2022-03-22 15:44:55.168081,Carmen Large Pebbled Leather Tote Bag,5130.00
275,2022-03-22 15:44:55.168153,Sullivan Large Saffiano Leather Top-Zip Tote Bag,3780.00
276,2022-03-22 15:44:55.168225,Raven Large Leather Shoulder Bag,4050.00
277,2022-03-22 15:44:55.168299,Izzy Medium Logo Embellished Pebbled Leather Tote Bag,4050.00
278,2022-03-22 15:44:55.168372,The Michael Large Heart Patch Cotton Tote Bag,2690.00
279,2022-03-22 15:44:55.168445,Carine Medium Logo Tote Bag,4860.00
